Sunrise,,,Direct Connect Store,,,Formula,,Output
Bulk Buys,Bulk Crafts,,Bulk Buys,Bulk Crafts,,Bulk Buys/Bulk Crafts==Bulk Buys/Bulk Crafts,,Bulk Buys/Bulk Crafts==Bulk Buys/Bulk Crafts
Bulk Buys,Bulk Crafts,,Bulk Buys,Bulk Crafts,,Bulk Buys/Bulk Crafts==Bulk Buys/Bulk Crafts,,Bulk Buys/Bulk Crafts==Bulk Buys/Bulk Crafts
Bulk Buys,Bulk Crafts,,Bulk Buys,Bulk Crafts,,Bulk Buys/Bulk Crafts==Bulk Buys/Bulk Crafts,,Bulk Buys/Bulk Crafts==Bulk Buys/Bulk Crafts
Bulk Buys,Bulk Crafts,,Bulk Buys,Bulk Crafts,,Bulk Buys/Bulk Crafts==Bulk Buys/Bulk Crafts,,Bulk Buys/Bulk Crafts==Bulk Buys/Bulk Crafts
Bulk Buys,Bulk Crafts,,Bulk Buys,Bulk Crafts,,Bulk Buys/Bulk Crafts==Bulk Buys/Bulk Crafts,,Bulk Buys/Bulk Crafts==Bulk Buys/Bulk Crafts
Bulk Buys,Bulk Crafts,,Bulk Buys,Bulk Crafts,,Bulk Buys/Bulk Crafts==Bulk Buys/Bulk Crafts,,Bulk Buys/Bulk Crafts==Bulk Buys/Bulk Crafts
Bulk Buys,Bulk Crafts,,Bulk Buys,Bulk Crafts,,Bulk Buys/Bulk Crafts==Bulk Buys/Bulk Crafts,,Bulk Buys/Bulk Crafts==Bulk Buys/Bulk Crafts
Bulk Buys,Bulk Crafts,,Bulk Buys,Bulk Crafts,,Bulk Buys/Bulk Crafts==Bulk Buys/Bulk Crafts,,Bulk Buys/Bulk Crafts==Bulk Buys/Bulk Crafts
Bulk Buys,Bulk Crafts,,Bulk Buys,Bulk Crafts,,Bulk Buys/Bulk Crafts==Bulk Buys/Bulk Crafts,,Bulk Buys/Bulk Crafts==Bulk Buys/Bulk Crafts
Bulk Buys,Bulk Crafts,,Bulk Buys,Bulk Crafts,,Bulk Buys/Bulk Crafts==Bulk Buys/Bulk Crafts,,Bulk Buys/Bulk Crafts==Bulk Buys/Bulk Crafts
